process_000	has_provenance	rule_family_to_attack_technique
process_000	suggests_technique	attack_T1059_command_and_scripting
process_001	has_provenance	rule_family_to_attack_technique
process_001	suggests_technique	attack_T1021_remote_services
process_002	has_provenance	rule_family_to_attack_technique
process_002	suggests_technique	attack_T1105_ingress_tool_transfer
process_003	has_provenance	rule_family_to_attack_technique
process_003	suggests_technique	attack_T1003_os_credential_dumping
process_005	has_provenance	rule_family_to_attack_technique
process_005	suggests_technique	attack_T1059_command_and_scripting
process_006	has_provenance	rule_family_to_attack_technique
process_006	suggests_technique	attack_T1021_remote_services
process_007	has_provenance	rule_family_to_attack_technique
process_007	suggests_technique	attack_T1105_ingress_tool_transfer
process_008	has_provenance	rule_family_to_attack_technique
process_008	suggests_technique	attack_T1003_os_credential_dumping
process_010	has_provenance	rule_family_to_attack_technique
process_010	suggests_technique	attack_T1059_command_and_scripting
process_011	has_provenance	rule_family_to_attack_technique
process_011	suggests_technique	attack_T1021_remote_services
process_012	has_provenance	rule_family_to_attack_technique
process_012	suggests_technique	attack_T1105_ingress_tool_transfer
process_013	has_provenance	rule_family_to_attack_technique
process_013	suggests_technique	attack_T1003_os_credential_dumping
process_015	has_provenance	rule_family_to_attack_technique
process_015	suggests_technique	attack_T1059_command_and_scripting
process_016	has_provenance	rule_family_to_attack_technique
process_016	suggests_technique	attack_T1021_remote_services
process_017	has_provenance	rule_family_to_attack_technique
process_017	suggests_technique	attack_T1105_ingress_tool_transfer
process_018	has_provenance	rule_family_to_attack_technique
process_018	suggests_technique	attack_T1003_os_credential_dumping
process_020	has_provenance	rule_family_to_attack_technique
process_020	suggests_technique	attack_T1059_command_and_scripting
process_021	has_provenance	rule_family_to_attack_technique
process_021	suggests_technique	attack_T1021_remote_services
process_022	has_provenance	rule_family_to_attack_technique
process_022	suggests_technique	attack_T1105_ingress_tool_transfer
process_023	has_provenance	rule_family_to_attack_technique
process_023	suggests_technique	attack_T1003_os_credential_dumping
process_025	has_provenance	rule_family_to_attack_technique
process_025	suggests_technique	attack_T1059_command_and_scripting
process_026	has_provenance	rule_family_to_attack_technique
process_026	suggests_technique	attack_T1021_remote_services
process_027	has_provenance	rule_family_to_attack_technique
process_027	suggests_technique	attack_T1105_ingress_tool_transfer
process_028	has_provenance	rule_family_to_attack_technique
process_028	suggests_technique	attack_T1003_os_credential_dumping
process_030	has_provenance	rule_family_to_attack_technique
