process_000	accesses	file_script_00
process_000	connects_to	workstation_00
process_000	executed_by	user_00
process_000	has_family	family_powershell
process_000	has_provenance	rule_family_to_attack_technique
process_000	suggests_technique	attack_T1059_command_and_scripting
process_001	accesses	file_rdp_client_01
process_001	connects_to	server_06
process_001	executed_by	user_01
process_001	has_family	family_remote_desktop
process_001	has_provenance	rule_family_to_attack_technique
process_001	suggests_technique	attack_T1021_remote_services
process_002	accesses	file_payload_02
process_002	connects_to	server_03
process_002	executed_by	user_02
process_002	has_family	family_downloader
process_002	has_provenance	rule_family_to_attack_technique
process_002	suggests_technique	attack_T1105_ingress_tool_transfer
process_003	accesses	file_sensitive_credential_store_03
process_003	connects_to	workstation_03
process_003	executed_by	user_03
process_003	has_family	family_credential_dump
process_003	has_provenance	rule_family_to_attack_technique
process_003	suggests_technique	attack_T1003_os_credential_dumping
process_004	accesses	file_spreadsheet_04
process_004	connects_to	workstation_04
process_004	executed_by	user_04
process_004	has_family	family_benign_office
process_005	accesses	file_script_05
process_005	connects_to	workstation_05
process_005	executed_by	user_05
process_005	has_family	family_powershell
process_005	has_provenance	rule_family_to_attack_technique
process_005	suggests_technique	attack_T1059_command_and_scripting
process_006	accesses	file_rdp_client_06
process_006	connects_to	server_07
process_006	executed_by	user_06
process_006	has_family	family_remote_desktop
process_006	has_provenance	rule_family_to_attack_technique
process_006	suggests_technique	attack_T1021_remote_services
process_007	accesses	file_payload_07
process_007	connects_to	server_04
process_007	executed_by	user_07
process_007	has_family	family_downloader
process_007	has_provenance	rule_family_to_attack_technique
process_007	suggests_technique	attack_T1105_ingress_tool_transfer
process_008	accesses	file_sensitive_credential_store_08
process_008	connects_to	workstation_08
process_008	executed_by	user_08
process_008	has_family	family_credential_dump
process_008	has_provenance	rule_family_to_attack_technique
process_008	suggests_technique	attack_T1003_os_credential_dumping
process_009	accesses	file_spreadsheet_09
process_009	connects_to	workstation_09
process_009	executed_by	user_09
process_009	has_family	family_benign_office
process_010	accesses	file_script_10
process_010	connects_to	workstation_10
process_010	executed_by	user_10
process_010	has_family	family_powershell
process_010	has_provenance	rule_family_to_attack_technique
process_010	suggests_technique	attack_T1059_command_and_scripting
process_011	accesses	file_rdp_client_11
process_011	connects_to	server_00
process_011	executed_by	user_11
process_011	has_family	family_remote_desktop
process_011	has_provenance	rule_family_to_attack_technique
process_011	suggests_technique	attack_T1021_remote_services
process_012	accesses	file_payload_12
process_012	connects_to	server_05
process_012	executed_by	user_12
process_012	has_family	family_downloader
process_012	has_provenance	rule_family_to_attack_technique
process_012	suggests_technique	attack_T1105_ingress_tool_transfer
process_013	accesses	file_sensitive_credential_store_13
process_013	connects_to	workstation_01
process_013	executed_by	user_13
process_013	has_family	family_credential_dump
process_013	has_provenance	rule_family_to_attack_technique
process_013	suggests_technique	attack_T1003_os_credential_dumping
process_014	accesses	file_spreadsheet_14
process_014	connects_to	workstation_02
process_014	executed_by	user_14
process_014	has_family	family_benign_office
process_015	accesses	file_script_00
process_015	connects_to	workstation_03
process_015	executed_by	user_15
process_015	has_family	family_powershell
process_015	has_provenance	rule_family_to_attack_technique
process_015	suggests_technique	attack_T1059_command_and_scripting
process_016	accesses	file_rdp_client_01
process_016	connects_to	server_01
process_016	executed_by	user_16
process_016	has_family	family_remote_desktop
process_016	has_provenance	rule_family_to_attack_technique
process_016	suggests_technique	attack_T1021_remote_services
process_017	accesses	file_payload_02
process_017	connects_to	server_06
process_017	executed_by	user_17
process_017	has_family	family_downloader
process_017	has_provenance	rule_family_to_attack_technique
process_017	suggests_technique	attack_T1105_ingress_tool_transfer
process_018	accesses	file_sensitive_credential_store_03
process_018	connects_to	workstation_06
process_018	executed_by	user_00
process_018	has_family	family_credential_dump
process_018	has_provenance	rule_family_to_attack_technique
process_018	suggests_technique	attack_T1003_os_credential_dumping
process_019	accesses	file_spreadsheet_04
process_019	connects_to	workstation_07
process_019	executed_by	user_01
process_019	has_family	family_benign_office
process_020	accesses	file_script_05
process_020	connects_to	workstation_08
